sample_idx,segment_idx,ee_x,ee_y,base_x,base_y,j1_x,j1_y,j2_x,j2_y,j3_x,j3_y,theta1,theta2,theta3
29,0,289.86184304097145,17.76334985261995,15.0,15.0,163.68637177685727,-67.41579246621475,299.803078132877,16.68083202483774,289.86184304097145,17.76334985261995,-0.506133087981403,1.0595579105806907,2.4797035016482285
30,0,289.54739138323686,17.932464955367163,15.0,15.0,163.56444251236607,-67.63538237940135,299.4812218213852,16.783982118700578,289.54739138323686,17.932464955367163,-0.5076105599524454,1.0634081776128805,2.470692764531452
31,0,289.226957960775,18.104797108276315,15.0,15.0,163.44028144303132,-67.85820928015315,299.1527926154572,16.889146497323395,289.226957960775,18.104797108276315,-0.5091110536548803,1.0673236621241826,2.461513559132933
32,0,288.9008495307513,18.280181334416127,15.0,15.0,163.31401384591166,-68.08401348583689,298.8180805087952,16.99623050664823,288.9008495307513,18.280181334416127,-0.5106328793921256,1.0713002644130836,2.4521747709721673
33,0,288.56937285033143,18.45845265685516,15.0,15.0,163.18576494402777,-68.3125384798312,298.4773768839799,17.105139659353853,288.56937285033143,18.45845265685516,-0.5121743641761998,1.075333915791496,2.442685271263827
34,0,288.2328346766807,18.639446098662056,15.0,15.0,163.0556598894863,-68.5435310164034,298.13097458901734,17.215779608289978,288.2328346766807,18.639446098662056,-0.5137338522855178,1.0794205791580225,2.4330539169022893
35,0,287.8915417669648,18.82299668290535,15.0,15.0,162.92382374563374,-68.7767412141979,297.7791680092063,17.328056117619383,287.8915417669648,18.82299668290535,-0.5153097057647462,1.0835562494420274,2.4232895505174215
36,0,287.5458008783491,19.008939432653825,15.0,15.0,162.79038146819317,-69.01192263890847,297.4222531342746,17.441875031799853,287.5458008783491,19.008939432653825,-0.5169003048700974,1.0877369539264192,2.413401000597093
37,0,287.1959187679992,19.19710937097595,15.0,15.0,162.65545788534902,-69.24883237569483,297.06052762074546,17.557142242549105,287.1959187679992,19.19710937097595,-0.5185040484633543,1.0919587524569876,2.403397081671862
38,0,286.84220219308054,19.387341520940396,15.0,15.0,162.51917767675607,-69.48723109188556,296.6942908494907,17.673763653951596,286.84220219308054,19.387341520940396,-0.5201193543577829,1.0962177375460485,2.393286594557245
